id,category,superclass,marker,affirmative,negated
7068,Double negation / negative concord,Double negation,not disconnected,The algorithm is connected.,The algorithm is not disconnected.
7069,Correlative negation,Negative quantifiers,neither...nor,Both the president and the vice president are trained.,Neither the president nor the vice president is trained.
7070,Affixial negation,Affixial,unknown,The article is known.,The article is unknown.
7071,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The coaches are interested.,"The coaches are not interested, the coaches are fascinated."
7072,Inherent negative verbs/adjectives,Lexical negation,withheld,The patients provided evidence.,The patients withheld evidence.
7073,Prepositional negation,Lexical negation,free of,The recipe has salt.,The recipe is free of salt.
7074,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The studio is expensive.,"The studio is not expensive, the studio is priceless."
7075,Exceptors,Negative quantifiers,except,Every officer is present.,Every officer is present except the disqualified entrant.
7076,Conditional negation,Clausal / discourse,unless,"If you review the changes, the order will be delayed.","Unless you review the changes, the order will be delayed."
7077,Affixial negation,Affixial,uncommon,The argument is common.,The argument is uncommon.
7078,Partial negation,Negative quantifiers,not every,Every application is complete.,Not every application is complete.
7079,Partial negation,Negative quantifiers,not every,Every camera is calibrated.,Not every camera is calibrated.
7080,Affixial negation,Affixial,immature,The employees are mature.,The employees are immature.
7081,Prepositional negation,Lexical negation,minus,The shipment has insurance.,The shipment is minus insurance.
7082,Affixial negation,Affixial,incorrect,The battery is correct.,The battery is incorrect.
7083,Conditional negation,Clausal / discourse,unless,"If you upload the document, the shipment will be returned.","Unless you upload the document, the shipment will be returned."
7084,Copula,Particle,is not,The warehouse is dangerous.,The warehouse is not dangerous.
7085,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody liked the proposal after the call.,Nobody liked the proposal after the call.
7086,Approximate negators,Scalar / restrictive,little,Considerable confidence was needed.,Little confidence was needed.
7087,Restrictive/exclusive particles,Scalar / restrictive,only,Several people completed the survey.,Only the new hire completed the survey.
7088,Approximate negators,Scalar / restrictive,barely ever,The professors often recall the details.,The professors barely ever recall the details.
7089,Conditional negation,Clausal / discourse,unless,"If you sign the contract, the shipment will be returned.","Unless you sign the contract, the shipment will be returned."
7090,Prepositional negation,Lexical negation,devoid of,The model has documentation.,The model is devoid of documentation.
7091,Conditional negation,Clausal / discourse,unless,"If you sign the contract, the meeting will be rescheduled.","Unless you sign the contract, the meeting will be rescheduled."
7092,Aspectual/presuppositional negation,Clausal / discourse,no longer,The chef still runs marathons.,The chef no longer runs marathons.
7093,Do-support auxiliary,Particle,did not,The farmer believed the rumor.,The farmer did not believe the rumor.
7094,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The chef still uses public transport.,The chef has ceased using public transport.
7095,Partial negation,Negative quantifiers,not every,Every intern is informed.,Not every intern is informed.
7096,Restrictive/exclusive particles,Scalar / restrictive,only,Several people was selected.,Only the consultant was selected.
7097,Inherent negative verbs/adjectives,Lexical negation,denied,The nurse admitted the mistake.,The nurse denied the mistake.
7098,Approximate negators,Scalar / restrictive,scarcely ever,The professors often work on weekends.,The professors scarcely ever work on weekends.
7099,Prepositional negation,Lexical negation,minus,The celebration has music.,The celebration is minus music.
7100,Neg-raising,Clausal / discourse,doesn't believe,She believes that the review is positive.,She doesn't believe the review is positive.
7101,Restrictive/exclusive particles,Scalar / restrictive,just,Several people received feedback.,Just the coach received feedback.
7102,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The driver still uses public transport.,The driver has stopped using public transport.
7103,Approximate negators,Scalar / restrictive,barely ever,The customers often eat vegetables.,The customers barely ever eat vegetables.
7104,Inherent negative verbs/adjectives,Lexical negation,doubted,The technician trusted the report.,The technician doubted the report.
7105,Aspectual/presuppositional negation,Clausal / discourse,no longer,The doctor still attends the gym.,The doctor no longer attends the gym.
7106,Double negation / negative concord,Double negation,not dishonest,The driver is honest.,The driver is not dishonest.
7107,Prepositional negation,Lexical negation,free of,The meal has seasoning.,The meal is free of seasoning.
7108,Conditional negation,Clausal / discourse,unless,"If you accept the terms, the account will be suspended.","Unless you accept the terms, the account will be suspended."
7109,Prepositional negation,Lexical negation,free of,The model has bias.,The model is free of bias.
7110,Do-support auxiliary,Particle,didn't,The doctor knew the answer.,The doctor didn't know the answer.
7111,Exceptors,Negative quantifiers,but for,Every customer is present.,Every customer is present but for the senior officer.
7112,Neg-raising,Clausal / discourse,doesn't expect,She expects that the flight will be on time.,She doesn't expect the flight will be on time.
7113,Neg-raising,Clausal / discourse,don't think,They think that the deadline will move.,They don't think the deadline will move.
7114,Inherent negative verbs/adjectives,Lexical negation,concealed,The professor reported the incident.,The professor concealed the incident.
7115,Exceptors,Negative quantifiers,but for,Every batch is accounted for.,Every batch is accounted for but for the test prototype.
7116,Copula,Particle,is not,The agreement is accurate.,The agreement is not accurate.
7117,Double negation / negative concord,Double negation,ain't...no,He has some support.,He ain't got no support.
7118,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The scientist still collects stamps.,The scientist has ceased collecting stamps.
7119,Copula,Particle,isn't,The router is effective.,The router isn't effective.
7120,Copula,Particle,are not,The drivers are available.,The drivers are not available.
7121,Double negation / negative concord,Double negation,ain't...no,I have some clue.,I ain't got no clue.
7122,Inherent negative verbs/adjectives,Lexical negation,broke,The teacher kept the promise.,The teacher broke the promise.
7123,Approximate negators,Scalar / restrictive,scarcely ever,The nurses often want more coffee.,The nurses scarcely ever want more coffee.
7124,Double negation / negative concord,Double negation,not insensitive,The technician is sensitive.,The technician is not insensitive.
7125,Partial negation,Negative quantifiers,not every,Every offer is outdated.,Not every offer is outdated.
7126,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The parking lot is fast.,"The parking lot is not fast, the parking lot is lightning-quick."
7127,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The basement is quiet.,"The basement is not quiet, the basement is silent."
7128,Affixial negation,Affixial,nonfunctional,The software is functional.,The software is nonfunctional.
7129,Approximate negators,Scalar / restrictive,hardly ever,The coaches often agree with the decision.,The coaches hardly ever agree with the decision.
7130,Neg-raising,Clausal / discourse,don't suppose,They suppose that the software is stable.,They don't suppose the software is stable.
7131,Prepositional negation,Lexical negation,lacking,The building has an elevator.,The building is lacking an elevator.
7132,Affixial negation,Affixial,irregular,The union is regular.,The union is irregular.
7133,Neg-raising,Clausal / discourse,don't expect,They expect that the results will improve.,They don't expect the results will improve.
7134,Partial negation,Negative quantifiers,not every,Every speech is compatible.,Not every speech is compatible.
7135,Correlative negation,Negative quantifiers,neither...nor,Both the server and the database are configured.,Neither the server nor the database is configured.
7136,Affixial negation,Affixial,dissatisfied,The contestants are satisfied.,The contestants are dissatisfied.
7137,Inherent negative verbs/adjectives,Lexical negation,dismissed,The students recognized the contribution.,The students dismissed the contribution.
7138,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The editor is worried.,"The editor is not worried, the editor is panicked."
7139,Exceptors,Negative quantifiers,besides,Every invoice is accounted for.,Every invoice is accounted for besides the rejected sample.
7140,Prepositional negation,Lexical negation,without,The plan has clear goals.,The plan is without clear goals.
7141,Prepositional negation,Lexical negation,minus,The article has a publication date.,The article is minus a publication date.
7142,Approximate negators,Scalar / restrictive,few,Many volunteers answered correctly.,Few volunteers answered correctly.
7143,Affixial negation,Affixial,insensitive,The officers are sensitive.,The officers are insensitive.
7144,Negative imperatives,Clausal / discourse,never,Always use this device inside the lab.,Never use this device inside the lab.
7145,Restrictive/exclusive particles,Scalar / restrictive,only,Several people signed the form.,Only the observer signed the form.
7146,Affixial negation,Affixial,unhappy,The customers are happy.,The customers are unhappy.
7147,Exceptors,Negative quantifiers,other than,Every invoice is accounted for.,Every invoice is accounted for other than the cached file.
7148,Sentential negative quantifiers,Negative quantifiers,no,A key is at the desk.,No key is at the desk.
7149,Affixial negation,Affixial,ineffective,The committee is effective.,The committee is ineffective.
7150,Conditional negation,Clausal / discourse,unless,"If you apologize, the order will be delayed.","Unless you apologize, the order will be delayed."
7151,Copula,Particle,is not,The office is clear.,The office is not clear.
7152,Partial negation,Negative quantifiers,not every,Every editor is punctual.,Not every editor is punctual.
7153,Approximate negators,Scalar / restrictive,seldom,The contestants often read the manual.,The contestants seldom read the manual.
7154,Exceptors,Negative quantifiers,besides,Every doctor is present.,Every doctor is present besides the acting chair.
7155,Correlative negation,Negative quantifiers,neither...nor,Both the laptop and the tablet are configured.,Neither the laptop nor the tablet is configured.
7156,Partial negation,Negative quantifiers,not every,Every antenna is complete.,Not every antenna is complete.
7157,Partial negation,Negative quantifiers,not all,All machines are expired.,Not all machines are expired.
7158,Exceptors,Negative quantifiers,except,Every component is accounted for.,Every component is accounted for except the duplicate entry.
7159,Do-support auxiliary,Particle,did not,The auditor trusted the plan.,The auditor did not trust the plan.
7160,Prepositional negation,Lexical negation,free of,The machine has a warranty.,The machine is free of a warranty.
7161,Copula,Particle,is not,The design is effective.,The design is not effective.
7162,Neg-raising,Clausal / discourse,doesn't think,She thinks that he will agree.,She doesn't think he will agree.
7163,Do-support auxiliary,Particle,did not,The students recognized the symptoms.,The students did not recognize the symptoms.
7164,Conditional negation,Clausal / discourse,unless,"If you upload the document, the account will be suspended.","Unless you upload the document, the account will be suspended."
7165,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The library is good.,"The library is not good, the library is excellent."
7166,Approximate negators,Scalar / restrictive,seldom,The tenants often complete the assignment.,The tenants seldom complete the assignment.
7167,Approximate negators,Scalar / restrictive,seldom,The patients often approve the budget.,The patients seldom approve the budget.
7168,Modals,Particle,would not,The witness would know the answer.,The witness would not know the answer.
7169,Affixial negation,Affixial,insensitive,The editor is sensitive.,The editor is insensitive.
7170,Copula,Particle,are not,The managers are available.,The managers are not available.
7171,Negative imperatives,Clausal / discourse,no + gerund,Touching that inside the lab is allowed.,No touching that inside the lab.
7172,Double negation / negative concord,Double negation,not insecure,The sensor is secure.,The sensor is not insecure.
7173,Affixial negation,Affixial,incorrect,The algorithm is correct.,The algorithm is incorrect.
7174,Double negation / negative concord,Double negation,not dishonest,The customer is honest.,The customer is not dishonest.
7175,Negative imperatives,Clausal / discourse,don't,Please smoke here in the library.,Don't smoke here in the library.
7176,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people passed the exam.,Merely the technician passed the exam.
7177,Negative imperatives,Clausal / discourse,no + gerund,Sharing the password in the workshop is allowed.,No sharing the password in the workshop.
7178,Correlative negation,Negative quantifiers,neither...nor,Both the battery and the charger are working.,Neither the battery nor the charger is working.
7179,Aspectual/presuppositional negation,Clausal / discourse,no longer,The scientist still works late.,The scientist no longer works late.
7180,Neg-raising,Clausal / discourse,doesn't suppose,He supposes that the project will succeed.,He doesn't suppose the project will succeed.
7181,Prepositional negation,Lexical negation,minus,The design has user testing.,The design is minus user testing.
7182,Do-support auxiliary,Particle,did not,The farmer read the manual.,The farmer did not read the manual.
7183,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The actor still runs marathons.,The actor has ceased running marathons.
7184,Prepositional negation,Lexical negation,lacking,The contract has a deadline.,The contract is lacking a deadline.
7185,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody attended the meeting before the deadline.,Nobody attended the meeting before the deadline.
7186,Do-support auxiliary,Particle,did not,The applicant reviewed the contract.,The applicant did not review the contract.
7187,Do-support auxiliary,Particle,did not,The chip started on schedule.,The chip did not start on schedule.
7188,Aspectual/presuppositional negation,Clausal / discourse,no longer,The applicant still practices the piano.,The applicant no longer practices the piano.
7189,Negative imperatives,Clausal / discourse,no + gerund,Leaving the door open in the workshop is allowed.,No leaving the door open in the workshop.
7190,Affixial negation,Affixial,impatient,The customers are patient.,The customers are impatient.
7191,Negative imperatives,Clausal / discourse,don't,Please forward this email outside the team.,Don't forward this email outside the team.
7192,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people passed the exam.,The strategist alone passed the exam.
7193,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people confirmed attendance.,Merely the founder confirmed attendance.
7194,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people received a bonus.,Merely the consultant received a bonus.
7195,Copula,Particle,is not,The soldier is comfortable.,The soldier is not comfortable.
7196,Exceptors,Negative quantifiers,besides,Every report is accounted for.,Every report is accounted for besides the temporary file.
7197,Inherent negative verbs/adjectives,Lexical negation,denied,The union accepted responsibility.,The union denied responsibility.
7198,Modals,Particle,cannot,The technician can handle the situation.,The technician cannot handle the situation.
7199,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The artist still smokes.,The artist has stopped smoking.
7200,Inherent negative verbs/adjectives,Lexical negation,broke,The farmers kept the promise.,The farmers broke the promise.
7201,Aspectual/presuppositional negation,Clausal / discourse,no longer,The consultant still smokes.,The consultant no longer smokes.
7202,Approximate negators,Scalar / restrictive,rarely,The vendors often care about the outcome.,The vendors rarely care about the outcome.
7203,Conditional negation,Clausal / discourse,unless,"If you leave, the trial will expire.","Unless you leave, the trial will expire."
7204,Do-support auxiliary,Particle,did not,The candidates attended the meeting.,The candidates did not attend the meeting.
7205,Neg-raising,Clausal / discourse,don't believe,I believe that she is coming.,I don't believe she is coming.
7206,Conditional negation,Clausal / discourse,unless,"If you update the software, the flight will be missed.","Unless you update the software, the flight will be missed."
7207,Correlative negation,Negative quantifiers,neither...nor,Both the invoice and the receipt are submitted.,Neither the invoice nor the receipt is submitted.
7208,Sentential negative quantifiers,Negative quantifiers,no,A file is in the log.,No file is in the log.
7209,Exceptors,Negative quantifiers,other than,Every prototype is accounted for.,Every prototype is accounted for other than the temporary file.
7210,Double negation / negative concord,Double negation,not inappropriate,The company is appropriate.,The company is not inappropriate.
7211,Approximate negators,Scalar / restrictive,rarely,The candidates often eat vegetables.,The candidates rarely eat vegetables.
7212,Negative imperatives,Clausal / discourse,don't,Please ignore the warning inside the lab.,Don't ignore the warning inside the lab.
7213,Exceptors,Negative quantifiers,other than,Every applicant is present.,Every applicant is present other than the temporary staff.
7214,Partial negation,Negative quantifiers,not every,Every speech is current.,Not every speech is current.
7215,Sentential negative quantifiers,Negative quantifiers,none,Some of the applicants attended the session.,None of the applicants attended the session.
7216,Sentential negative quantifiers,Negative quantifiers,no one,Somebody ate vegetables in advance.,No one ate vegetables in advance.
7217,Inherent negative verbs/adjectives,Lexical negation,avoided,The customer sought feedback.,The customer avoided feedback.
7218,Sentential negative quantifiers,Negative quantifiers,none,Some of the batches were shipped on time.,None of the batches were shipped on time.
7219,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The student still uses public transport.,The student has stopped using public transport.
7220,Neg-raising,Clausal / discourse,don't believe,We believe that the results are accurate.,We don't believe the results are accurate.
7221,Prepositional negation,Lexical negation,free of,The argument has supporting data.,The argument is free of supporting data.
7222,Double negation / negative concord,Double negation,not unknown,The sensor is known.,The sensor is not unknown.
7223,Conditional negation,Clausal / discourse,unless,"If you apologize, the fine will increase.","Unless you apologize, the fine will increase."
7224,Aspectual/presuppositional negation,Clausal / discourse,no longer,The coach still manages the account.,The coach no longer manages the account.
7225,Conditional negation,Clausal / discourse,unless,"If you submit the application, the membership will lapse.","Unless you submit the application, the membership will lapse."
7226,Do-support auxiliary,Particle,didn't,The interns followed the instructions.,The interns didn't follow the instructions.
7227,Negative imperatives,Clausal / discourse,no + gerund,Pressing the button during the demo is allowed.,No pressing the button during the demo.
7228,Approximate negators,Scalar / restrictive,rarely,The actors often work on weekends.,The actors rarely work on weekends.
7229,Modals,Particle,mustn't,The coordinator must support the initiative.,The coordinator mustn't support the initiative.
7230,Double negation / negative concord,Double negation,not inconvenient,The garage is convenient.,The garage is not inconvenient.
7231,Exceptors,Negative quantifiers,other than,Every visitor is present.,Every visitor is present other than the absent member.
7232,Partial negation,Negative quantifiers,not every,Every argument is registered.,Not every argument is registered.
7233,Partial negation,Negative quantifiers,not every,Every application is approved.,Not every application is approved.
7234,Conditional negation,Clausal / discourse,unless,"If you finish the report, the project will be paused.","Unless you finish the report, the project will be paused."
7235,Exceptors,Negative quantifiers,but for,Every sample is accounted for.,Every sample is accounted for but for the cached file.
7236,Negative imperatives,Clausal / discourse,don't,Please modify the settings inside the lab.,Don't modify the settings inside the lab.
7237,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The coach is sad.,"The coach is not sad, the coach is devastated."
7238,Approximate negators,Scalar / restrictive,seldom,The coaches often finish the report.,The coaches seldom finish the report.
7239,Approximate negators,Scalar / restrictive,seldom,The interns often accept the offer.,The interns seldom accept the offer.
7240,Negative imperatives,Clausal / discourse,don't,Please cross the line during the tour.,Don't cross the line during the tour.
7241,Copula,Particle,isn't,The company is sufficient.,The company isn't sufficient.
7242,Conditional negation,Clausal / discourse,unless,"If you upload the document, the trial will expire.","Unless you upload the document, the trial will expire."
7243,Double negation / negative concord,Double negation,not insensitive,The coordinator is sensitive.,The coordinator is not insensitive.
7244,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people received training.,Merely the trainee received training.
7245,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The auditorium is warm.,"The auditorium is not warm, the auditorium is hot."
7246,Aspectual/presuppositional negation,Clausal / discourse,no longer,The actor still drinks coffee daily.,The actor no longer drinks coffee daily.
7247,Do-support auxiliary,Particle,did not,The coaches accepted the offer.,The coaches did not accept the offer.
7248,Copula,Particle,is not,The nurse is ready.,The nurse is not ready.
7249,Conditional negation,Clausal / discourse,unless,"If you pay the fee, the file will be deleted.","Unless you pay the fee, the file will be deleted."
7250,Conditional negation,Clausal / discourse,unless,"If you leave, the file will be deleted.","Unless you leave, the file will be deleted."
7251,Sentential negative quantifiers,Negative quantifiers,no one,Somebody cared about the outcome last week.,No one cared about the outcome last week.
7252,Sentential negative quantifiers,Negative quantifiers,no,A teacher is near the entrance.,No teacher is near the entrance.
7253,Prepositional negation,Lexical negation,lacking,The team has a budget.,The team is lacking a budget.
7254,Neg-raising,Clausal / discourse,doesn't expect,He expects that the budget will increase.,He doesn't expect the budget will increase.
7255,Approximate negators,Scalar / restrictive,seldom,The workers often remember the address.,The workers seldom remember the address.
7256,Conditional negation,Clausal / discourse,unless,"If you finish the report, the warranty will be void.","Unless you finish the report, the warranty will be void."
7257,Aspectual/presuppositional negation,Clausal / discourse,no longer,The chef still plays tennis.,The chef no longer plays tennis.
7258,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people passed the exam.,Merely the specialist passed the exam.
7259,Prepositional negation,Lexical negation,devoid of,The vehicle has a warranty.,The vehicle is devoid of a warranty.
7260,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody believed the rumor this morning.,Nobody believed the rumor this morning.
7261,Approximate negators,Scalar / restrictive,scarcely ever,The patients often agree with the decision.,The patients scarcely ever agree with the decision.
7262,Double negation / negative concord,Double negation,ain't...no,She has some way.,She ain't got no way.
7263,Modals,Particle,should not,The network should support the new format.,The network should not support the new format.
7264,Copula,Particle,is not,The laptop is consistent.,The laptop is not consistent.
7265,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The student still runs marathons.,The student has stopped running marathons.
7266,Sentential negative quantifiers,Negative quantifiers,none,Some of the batches were duplicated.,None of the batches were duplicated.
7267,Copula,Particle,isn't,The router is audible.,The router isn't audible.
7268,Affixial negation,Affixial,unhappy,The student is happy.,The student is unhappy.
7269,Aspectual/presuppositional negation,Clausal / discourse,no longer,The lawyer still writes a blog.,The lawyer no longer writes a blog.
7270,Affixial negation,Affixial,inaccurate,The article is accurate.,The article is inaccurate.
7271,Correlative negation,Negative quantifiers,neither...nor,Both the technician and the specialist are certified.,Neither the technician nor the specialist is certified.
7272,Sentential negative quantifiers,Negative quantifiers,nothing,Something needed fixing before the deadline.,Nothing needed fixing before the deadline.
7273,Restrictive/exclusive particles,Scalar / restrictive,just,Several people signed the form.,Just the analyst signed the form.
7274,Double negation / negative concord,Double negation,not nonfunctional,The laptop is functional.,The laptop is not nonfunctional.
7275,Neg-raising,Clausal / discourse,don't believe,We believe that the system is secure.,We don't believe the system is secure.
7276,Sentential negative quantifiers,Negative quantifiers,none,Some of the machines were duplicated.,None of the machines were duplicated.
7277,Approximate negators,Scalar / restrictive,barely ever,The students often handle the situation.,The students barely ever handle the situation.
7278,Approximate negators,Scalar / restrictive,scarcely ever,The farmers often like the proposal.,The farmers scarcely ever like the proposal.
7279,Negative imperatives,Clausal / discourse,don't,Please ignore the warning on site.,Don't ignore the warning on site.
7280,Neg-raising,Clausal / discourse,doesn't expect,He expects that the merger will proceed.,He doesn't expect the merger will proceed.
7281,Prepositional negation,Lexical negation,devoid of,The survey has clear questions.,The survey is devoid of clear questions.
7282,Exceptors,Negative quantifiers,but for,Every student is present.,Every student is present but for the supervisor.
7283,Double negation / negative concord,Double negation,not uncommon,The chip is common.,The chip is not uncommon.
7284,Correlative negation,Negative quantifiers,neither...nor,Both the farmer and the merchant are prepared.,Neither the farmer nor the merchant is prepared.
7285,Negative imperatives,Clausal / discourse,never,Always press the button inside the lab.,Never press the button inside the lab.
7286,Double negation / negative concord,Double negation,not unknown,The schedule is known.,The schedule is not unknown.
7287,Approximate negators,Scalar / restrictive,few,Many prototypes were flagged for review.,Few prototypes were flagged for review.
7288,Inherent negative verbs/adjectives,Lexical negation,rejected,The contestants approved the design.,The contestants rejected the design.
7289,Do-support auxiliary,Particle,didn't,The interns ate vegetables.,The interns didn't eat vegetables.
7290,Partial negation,Negative quantifiers,not every,Every farmer is present.,Not every farmer is present.
7291,Neg-raising,Clausal / discourse,don't expect,I expect that the update is necessary.,I don't expect the update is necessary.
7292,Double negation / negative concord,Double negation,not unhappy,The professor is happy.,The professor is not unhappy.
7293,Neg-raising,Clausal / discourse,don't think,They think that the plan will work.,They don't think the plan will work.
7294,Correlative negation,Negative quantifiers,neither...nor,Both the president and the vice president are certified.,Neither the president nor the vice president is certified.
7295,Sentential negative quantifiers,Negative quantifiers,nowhere,The badge can be found somewhere on the table.,The badge can be found nowhere on the table.
7296,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The engine is expensive.,"The engine is not expensive, the engine is priceless."
7297,Partial negation,Negative quantifiers,not every,Every customer is prepared.,Not every customer is prepared.
7298,Do-support auxiliary,Particle,didn't,The lawyer completed the assignment.,The lawyer didn't complete the assignment.
7299,Negative imperatives,Clausal / discourse,no + gerund,Running in the hallway near the entrance is allowed.,No running in the hallway near the entrance.
7300,Sentential negative quantifiers,Negative quantifiers,nowhere,The schedule can be found somewhere on the agenda.,The schedule can be found nowhere on the agenda.
7301,Do-support auxiliary,Particle,did not,The doctor enjoyed the concert.,The doctor did not enjoy the concert.
7302,Double negation / negative concord,Double negation,not insecure,The library is secure.,The library is not insecure.
7303,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The car is warm.,"The car is not warm, the car is hot."
7304,Do-support auxiliary,Particle,didn't,The actors followed the instructions.,The actors didn't follow the instructions.
7305,Conditional negation,Clausal / discourse,unless,"If you notify the manager, the deal will be canceled.","Unless you notify the manager, the deal will be canceled."
7306,Correlative negation,Negative quantifiers,neither...nor,Both the manager and the assistant are registered.,Neither the manager nor the assistant is registered.
7307,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The visitors are nervous.,"The visitors are not nervous, the visitors are terrified."
7308,Affixial negation,Affixial,irregular,The department is regular.,The department is irregular.
7309,Inherent negative verbs/adjectives,Lexical negation,concealed,The consultant reported the incident.,The consultant concealed the incident.
7310,Affixial negation,Affixial,unlikely,The design is likely.,The design is unlikely.
7311,Correlative negation,Negative quantifiers,neither...nor,Both the teacher and the student are informed.,Neither the teacher nor the student is informed.
7312,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The stadium is loud.,"The stadium is not loud, the stadium is deafening."
7313,Copula,Particle,is not,The technician is available.,The technician is not available.
7314,Double negation / negative concord,Double negation,not impossible,The speech is possible.,The speech is not impossible.
7315,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The referee still uses the old system.,The referee has ceased using the old system.
7316,Modals,Particle,can't,The technician can eat vegetables.,The technician can't eat vegetables.
7317,Prepositional negation,Lexical negation,minus,The trip has delays.,The trip is minus delays.
7318,Negative imperatives,Clausal / discourse,don't,Please enter the room without permission.,Don't enter the room without permission.
7319,Prepositional negation,Lexical negation,lacking,The apartment has windows.,The apartment is lacking windows.
7320,Sentential negative quantifiers,Negative quantifiers,nowhere,The contract can be found somewhere on the screen.,The contract can be found nowhere on the screen.
7321,Affixial negation,Affixial,dishonest,The applicants are honest.,The applicants are dishonest.
7322,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The car is small.,"The car is not small, the car is tiny."
7323,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The technician still plays tennis.,The technician has ceased playing tennis.
7324,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The pilot still runs marathons.,The pilot has stopped running marathons.
7325,Affixial negation,Affixial,impatient,The technician is patient.,The technician is impatient.
7326,Copula,Particle,isn't,The lobby is visible.,The lobby isn't visible.
7327,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The basement is old.,"The basement is not old, the basement is ancient."
7328,Affixial negation,Affixial,impatient,The teacher is patient.,The teacher is impatient.
7329,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody cared about the outcome during the meeting.,Nobody cared about the outcome during the meeting.
7330,Approximate negators,Scalar / restrictive,few,Many samples were backed up.,Few samples were backed up.
7331,Correlative negation,Negative quantifiers,neither...nor,Both the artist and the curator are prepared.,Neither the artist nor the curator is prepared.
7332,Correlative negation,Negative quantifiers,neither...nor,Both the horse and the donkey are healthy.,Neither the horse nor the donkey is healthy.
7333,Approximate negators,Scalar / restrictive,little,Considerable time was collected.,Little time was collected.
7334,Exceptors,Negative quantifiers,other than,Every customer is present.,Every customer is present other than the substitute.
7335,Correlative negation,Negative quantifiers,neither...nor,Both the battery and the charger are functional.,Neither the battery nor the charger is functional.
7336,Approximate negators,Scalar / restrictive,scarcely ever,The tourists often work on weekends.,The tourists scarcely ever work on weekends.
7337,Aspectual/presuppositional negation,Clausal / discourse,no longer,The soldier still plays tennis.,The soldier no longer plays tennis.
7338,Correlative negation,Negative quantifiers,neither...nor,Both the sensor and the camera are available.,Neither the sensor nor the camera is available.
7339,Exceptors,Negative quantifiers,except,Every batch is accounted for.,Every batch is accounted for except the temporary file.
7340,Correlative negation,Negative quantifiers,neither...nor,Both the author and the editor are registered.,Neither the author nor the editor is registered.
7341,Exceptors,Negative quantifiers,besides,Every batch is accounted for.,Every batch is accounted for besides the draft proposal.
7342,Affixial negation,Affixial,incapable,The athletes are capable.,The athletes are incapable.
7343,Double negation / negative concord,Double negation,not inaccurate,The recipe is accurate.,The recipe is not inaccurate.
7344,Conditional negation,Clausal / discourse,unless,"If you provide feedback, the warranty will be void.","Unless you provide feedback, the warranty will be void."
7345,Double negation / negative concord,Double negation,not ineffective,The hospital is effective.,The hospital is not ineffective.
7346,Inherent negative verbs/adjectives,Lexical negation,withheld,The teacher provided evidence.,The teacher withheld evidence.
7347,Correlative negation,Negative quantifiers,neither...nor,Both the artist and the curator are certified.,Neither the artist nor the curator is certified.
7348,Exceptors,Negative quantifiers,besides,Every teacher is present.,Every teacher is present besides the supervisor.
7349,Approximate negators,Scalar / restrictive,seldom,The vendors often recognize the symptoms.,The vendors seldom recognize the symptoms.
7350,Neg-raising,Clausal / discourse,don't suppose,They suppose that the plan will work.,They don't suppose the plan will work.
7351,Partial negation,Negative quantifiers,not every,Every agreement is documented.,Not every agreement is documented.
7352,Neg-raising,Clausal / discourse,doesn't expect,She expects that the report is complete.,She doesn't expect the report is complete.
7353,Negative imperatives,Clausal / discourse,no + gerund,Running in the hallway in the corridor is allowed.,No running in the hallway in the corridor.
7354,Modals,Particle,must not,The coach must believe the rumor.,The coach must not believe the rumor.
7355,Do-support auxiliary,Particle,didn't,The pilot supported the initiative.,The pilot didn't support the initiative.
7356,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The pilot still collects stamps.,The pilot has stopped collecting stamps.
